Version 3.0
Stress Data Type: NODE 
Shell 2
Frame: LOCAL
Ref Vector: 1.000000e+00 0.000000e+00 0.000000e+00
Fallback Vector: 0.000000e+00 0.000000e+00 1.000000e+00
Vertices: 20269
6.750000e-01 0.000000e+00 6.000000e-01
6.750000e-01 -6.000000e-01 6.000000e-01
0.000000e+00 -6.000000e-01 6.000000e-01
0.000000e+00 0.000000e+00 6.000000e-01
0.000000e+00 -6.000000e-01 0.000000e+00
4.500000e-01 -6.000000e-01 0.000000e+00
4.500000e-01 0.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-01 -6.000000e-01 2.500000e-01
5.000000e-01 0.000000e+00 2.500000e-01
7.000000e-01 -6.000000e-01 3.700000e-01
7.000000e-01 0.000000e+00 3.700000e-01
7.500000e-01 -6.000000e-01 6.000000e-01
7.500000e-01 0.000000e+00 6.000000e-01
6.750000e-01 -2.000000e-02 6.000000e-01
6.750000e-01 -4.000000e-02 6.000000e-01
6.750000e-01 -6.000000e-02 6.000000e-01
6.750000e-01 -8.000000e-02 6.000000e-01
6.750000e-01 -1.000000e-01 6.000000e-01
6.750000e-01 -1.200000e-01 6.000000e-01
6.750000e-01 -1.400000e-01 6.000000e-01
6.750000e-01 -1.600000e-01 6.000000e-01
6.750000e-01 -1.800000e-01 6.000000e-01
6.750000e-01 -2.000000e-01 6.000000e-01
6.750000e-01 -2.200000e-01 6.000000e-01
6.750000e-01 -2.400000e-01 6.000000e-01
6.750000e-01 -2.600000e-01 6.000000e-01
6.750000e-01 -2.800000e-01 6.000000e-01
6.750000e-01 -3.000000e-01 6.000000e-01
6.750000e-01 -3.200000e-01 6.000000e-01
6.750000e-01 -3.400000e-01 6.000000e-01
6.750000e-01 -3.600000e-01 6.000000e-01
6.750000e-01 -3.800000e-01 6.000000e-01
6.750000e-01 -4.000000e-01 6.000000e-01
6.750000e-01 -4.200000e-01 6.000000e-01
6.750000e-01 -4.400000e-01 6.000000e-01
6.750000e-01 -4.600000e-01 6.000000e-01
6.750000e-01 -4.800000e-01 6.000000e-01
6.750000e-01 -5.000000e-01 6.000000e-01
6.750000e-01 -5.200000e-01 6.000000e-01
6.750000e-01 -5.400000e-01 6.000000e-01
6.750000e-01 -5.600000e-01 6.000000e-01
6.750000e-01 -5.800000e-01 6.000000e-01
6.551470e-01 -6.000000e-01 6.000000e-01
6.352940e-01 -6.000000e-01 6.000000e-01
6.154410e-01 -6.000000e-01 6.000000e-01
5.955880e-01 -6.000000e-01 6.000000e-01
5.757350e-01 -6.000000e-01 6.000000e-01
5.558820e-01 -6.000000e-01 6.000000e-01
5.360290e-01 -6.000000e-01 6.000000e-01
5.161760e-01 -6.000000e-01 6.000000e-01
4.963240e-01 -6.000000e-01 6.000000e-01
4.764710e-01 -6.000000e-01 6.000000e-01
4.566180e-01 -6.000000e-01 6.000000e-01
4.367650e-01 -6.000000e-01 6.000000e-01
4.169120e-01 -6.000000e-01 6.000000e-01
3.970590e-01 -6.000000e-01 6.000000e-01
3.772060e-01 -6.000000e-01 6.000000e-01
3.573530e-01 -6.000000e-01 6.000000e-01
3.375000e-01 -6.000000e-01 6.000000e-01
3.176470e-01 -6.000000e-01 6.000000e-01
2.977940e-01 -6.000000e-01 6.000000e-01
2.779410e-01 -6.000000e-01 6.000000e-01
2.580880e-01 -6.000000e-01 6.000000e-01
2.382350e-01 -6.000000e-01 6.000000e-01
2.183820e-01 -6.000000e-01 6.000000e-01
1.985290e-01 -6.000000e-01 6.000000e-01
1.786760e-01 -6.000000e-01 6.000000e-01
1.588240e-01 -6.000000e-01 6.000000e-01
1.389710e-01 -6.000000e-01 6.000000e-01
1.191180e-01 -6.000000e-01 6.000000e-01
9.926500e-02 -6.000000e-01 6.000000e-01
7.941200e-02 -6.000000e-01 6.000000e-01
5.955900e-02 -6.000000e-01 6.000000e-01
3.970600e-02 -6.000000e-01 6.000000e-01
1.985300e-02 -6.000000e-01 6.000000e-01
0.000000e+00 -5.800000e-01 6.000000e-01
0.000000e+00 -5.600000e-01 6.000000e-01
0.000000e+00 -5.400000e-01 6.000000e-01
0.000000e+00 -5.200000e-01 6.000000e-01
0.000000e+00 -5.000000e-01 6.000000e-01
0.000000e+00 -4.800000e-01 6.000000e-01
0.000000e+00 -4.600000e-01 6.000000e-01
0.000000e+00 -4.400000e-01 6.000000e-01
0.000000e+00 -4.200000e-01 6.000000e-01
0.000000e+00 -4.000000e-01 6.000000e-01
0.000000e+00 -3.800000e-01 6.000000e-01
0.000000e+00 -3.600000e-01 6.000000e-01
0.000000e+00 -3.400000e-01 6.000000e-01
0.000000e+00 -3.200000e-01 6.000000e-01
0.000000e+00 -3.000000e-01 6.000000e-01
0.000000e+00 -2.800000e-01 6.000000e-01
0.000000e+00 -2.600000e-01 6.000000e-01
