Version 3.0
Stress Data Type: NODE 
Shell 1
Frame: LOCAL
Ref Vector: 1.000000e+00 0.000000e+00 0.000000e+00
Fallback Vector: 0.000000e+00 0.000000e+00 1.000000e+00
Vertices: 11284
2.000000e+00 -9.094780e-01 -1.419526e+00
2.000000e+00 -3.886330e-01 -1.642750e+00
4.100000e+00 -3.920230e-01 -1.657080e+00
4.100000e+00 -8.829680e-01 -1.439500e+00
2.000000e+00 1.770230e-01 -1.676549e+00
4.100000e+00 1.443710e-01 -1.682540e+00
2.000000e+00 1.527332e+00 -6.672770e-01
4.100000e+00 1.409670e+00 -6.378080e-01
2.000000e+00 1.667160e+00 -8.832600e-02
4.100000e+00 1.542880e+00 -6.068900e-02
2.000000e+00 1.408981e+00 9.514120e-01
4.100000e+00 1.293950e+00 1.165500e+00
2.000000e+00 9.096990e-01 1.470433e+00
4.100000e+00 8.690460e-01 1.672520e+00
2.000000e+00 7.749140e-01 1.550489e+00
4.100000e+00 7.630270e-01 1.743850e+00
6.150000e+01 9.049100e-02 3.000320e-01
6.013000e+01 1.379620e-01 2.997120e-01
6.109268e+01 2.802600e-02 6.078660e-01
6.013000e+01 3.096800e-02 7.415110e-01
6.150000e+01 2.680200e-02 5.513250e-01
6.150000e+01 9.024000e-02 -3.000320e-01
6.013000e+01 1.415090e-01 -3.002490e-01
6.150000e+01 0.000000e+00 -4.342000e-01
6.013000e+01 -1.090000e-03 -5.675990e-01
6.013000e+01 1.875400e-02 -5.660360e-01
6.013000e+01 6.025500e-02 -5.230040e-01
6.013000e+01 6.833700e-02 -5.099640e-01
6.013000e+01 8.923500e-02 -4.677330e-01
6.150000e+01 7.848100e-02 -3.342250e-01
6.150000e+01 -4.307000e-02 -3.342250e-01
6.013000e+01 -5.105100e-02 -4.674630e-01
6.013000e+01 -4.558500e-02 3.000650e-01
6.013000e+01 -5.963600e-02 2.043870e-01
6.013000e+01 -7.485100e-02 -2.998330e-01
6.150000e+01 -4.862900e-02 -3.000320e-01
6.118751e+01 -2.921700e-02 3.000300e-01
6.150000e+01 -2.444800e-02 3.000320e-01
6.013000e+01 9.319000e-03 7.415530e-01
6.013000e+01 1.635000e-03 8.513980e-01
6.150000e+01 0.000000e+00 6.513000e-01
5.740000e+01 3.461100e-02 1.151480e+00
5.740000e+01 8.082000e-03 1.251570e+00
5.740000e+01 2.279920e-01 2.985010e-01
5.740000e+01 2.319270e-01 -3.014710e-01
5.740000e+01 1.049540e-01 -7.351740e-01
5.740000e+01 -6.646800e-02 -7.340670e-01
5.740000e+01 -5.388000e-03 -8.343830e-01
5.740000e+01 -1.208800e-01 -2.991920e-01
5.740000e+01 -8.643900e-02 3.005310e-01
5.740000e+01 1.877700e-02 1.151580e+00
5.467000e+01 4.836700e-02 1.280130e+00
5.467000e+01 2.083000e-02 1.387640e+00
5.467000e+01 2.570110e-01 3.183790e-01
5.467000e+01 2.558870e-01 -3.260780e-01
5.467000e+01 1.073310e-01 -8.198110e-01
5.467000e+01 -1.388700e-02 -9.250960e-01
5.467000e+01 -7.961900e-02 -8.170050e-01
5.467000e+01 -1.371950e-01 -3.201780e-01
5.467000e+01 -9.457100e-02 3.236570e-01
5.467000e+01 3.164700e-02 1.280380e+00
5.125000e+01 6.767900e-02 1.398200e+00
5.125000e+01 4.033900e-02 1.510260e+00
5.125000e+01 2.855170e-01 3.288990e-01
5.125000e+01 2.766810e-01 -3.439150e-01
5.125000e+01 1.033330e-01 -8.989840e-01
5.125000e+01 -2.689300e-02 -1.006840e+00
5.125000e+01 -9.560800e-02 -8.936700e-01
5.125000e+01 -1.536610e-01 -3.324210e-01
5.125000e+01 -1.011470e-01 3.392260e-01
5.125000e+01 5.065200e-02 1.398650e+00
4.715000e+01 9.382000e-02 1.540880e+00
4.715000e+01 6.713300e-02 1.657040e+00
4.715000e+01 3.202080e-01 3.380670e-01
4.715000e+01 3.015630e-01 -3.632570e-01
4.715000e+01 9.543400e-02 -9.952970e-01
4.715000e+01 -4.475500e-02 -1.104690e+00
4.715000e+01 -1.165050e-01 -9.867100e-01
4.715000e+01 -1.736760e-01 -3.440030e-01
4.715000e+01 -1.090960e-01 3.554590e-01
4.715000e+01 7.668500e-02 1.541580e+00
4.500000e+01 1.090480e-01 1.615850e+00
4.500000e+01 8.297800e-02 1.733820e+00
4.500000e+01 3.388190e-01 3.409000e-01
4.500000e+01 3.155160e-01 -3.722150e-01
4.500000e+01 9.100900e-02 -1.046160e+00
4.500000e+01 -5.531900e-02 -1.155880e+00
4.500000e+01 -1.269280e-01 -1.035730e+00
4.500000e+01 -1.807450e-01 -3.484650e-01
4.500000e+01 -1.103940e-01 3.623980e-01
4.500000e+01 9.250500e-02 1.616640e+00
4.305000e+01 1.242840e-01 1.684040e+00
4.305000e+01 9.861100e-02 1.803310e+00
4.305000e+01 3.555300e-01 3.426000e-01
4.305000e+01 2.044940e-01 1.296810e+00
4.305000e+01 3.263350e-01 -3.798860e-01
4.305000e+01 8.377900e-02 -1.092510e+00
4.305000e+01 -6.574000e-02 -1.202200e+00
4.305000e+01 -1.400250e-01 -1.080270e+00
4.305000e+01 -1.940280e-01 -3.514310e-01
4.305000e+01 -1.171120e-01 3.684450e-01
4.305000e+01 6.915800e-02 1.304210e+00
4.305000e+01 1.072050e-01 1.684970e+00
4.200000e+01 1.357600e-01 1.720470e+00
4.200000e+01 1.083740e-01 1.840610e+00
4.200000e+01 2.150750e-01 1.329410e+00
4.200000e+01 3.643620e-01 3.425300e-01
4.200000e+01 3.329930e-01 -3.839600e-01
4.200000e+01 7.864400e-02 -1.117520e+00
4.200000e+01 -7.289900e-02 -1.227040e+00
4.200000e+01 -1.565230e-01 -1.103550e+00
4.200000e+01 -2.183510e-01 -3.512040e-01
4.200000e+01 -1.307560e-01 3.719450e-01
4.200000e+01 8.045000e-02 1.337410e+00
4.200000e+01 1.169510e-01 1.721580e+00
4.100000e+01 1.483940e-01 1.755170e+00
4.100000e+01 1.169630e-01 1.876160e+00
4.100000e+01 2.243850e-01 1.361020e+00
4.100000e+01 3.753060e-01 3.423610e-01
4.100000e+01 3.451100e-01 -3.884440e-01
4.100000e+01 7.448000e-02 -1.141540e+00
4.100000e+01 -7.999900e-02 -1.250640e+00
4.100000e+01 -1.753320e-01 -1.125560e+00
4.100000e+01 -2.503430e-01 -3.503550e-01
4.100000e+01 -1.484440e-01 3.758640e-01
4.100000e+01 9.340600e-02 1.369400e+00
4.100000e+01 1.248360e-01 1.756670e+00
3.895000e+01 2.455780e-01 1.426000e+00
3.895000e+01 1.741830e-01 1.826590e+00
3.895000e+01 3.947750e-01 3.409720e-01
3.895000e+01 3.633580e-01 -3.965130e-01
3.895000e+01 6.244900e-02 -1.190980e+00
3.895000e+01 -9.515900e-02 -1.298920e+00
3.895000e+01 -2.112560e-01 -1.170920e+00
3.895000e+01 -3.089990e-01 -3.472560e-01
3.895000e+01 -1.821900e-01 3.832410e-01
3.895000e+01 1.193970e-01 1.435240e+00
3.895000e+01 1.428410e-01 1.828880e+00
3.895000e+01 1.490350e-01 1.947920e+00
3.700000e+01 1.741010e-01 2.016310e+00
3.700000e+01 1.675870e-01 2.016850e+00
3.895000e+01 1.427380e-01 1.948380e+00
3.700000e+01 1.979950e-01 1.894510e+00
3.700000e+01 2.669520e-01 1.488040e+00
3.700000e+01 4.136800e-01 3.382730e-01
3.700000e+01 3.746050e-01 -4.037740e-01
3.700000e+01 4.962900e-02 -1.238160e+00
3.700000e+01 -1.117250e-01 -1.344570e+00
3.700000e+01 -2.287390e-01 -1.215030e+00
3.700000e+01 -3.219750e-01 -3.458930e-01
3.700000e+01 -1.868690e-01 3.881750e-01
3.700000e+01 1.407120e-01 1.498530e+00
3.700000e+01 1.662360e-01 1.897150e+00
3.895000e+01 1.364420e-01 1.948840e+00
3.700000e+01 1.610740e-01 2.017390e+00
3.485000e+01 2.030410e-01 2.091380e+00
3.485000e+01 1.962800e-01 2.092010e+00
3.485000e+01 2.258920e-01 1.969290e+00
3.485000e+01 2.909270e-01 1.557640e+00
3.485000e+01 4.332150e-01 3.339550e-01
3.485000e+01 3.866010e-01 -4.108730e-01
3.485000e+01 3.445600e-02 -1.290240e+00
3.485000e+01 -1.308530e-01 -1.394670e+00
3.485000e+01 -2.490160e-01 -1.263650e+00
3.485000e+01 -3.379020e-01 -3.428980e-01
3.485000e+01 -1.944040e-01 3.928410e-01
3.485000e+01 1.647930e-01 1.569470e+00
3.485000e+01 1.936690e-01 1.972310e+00
3.485000e+01 1.895190e-01 2.092650e+00
3.200000e+01 2.447910e-01 2.189630e+00
3.200000e+01 2.371860e-01 2.190460e+00
3.200000e+01 2.649950e-01 2.068140e+00
3.200000e+01 3.243330e-01 1.650990e+00
3.200000e+01 4.639240e-01 3.257700e-01
3.200000e+01 4.205320e-01 -4.215410e-01
3.200000e+01 1.686200e-02 -1.359950e+00
3.200000e+01 -1.581240e-01 -1.460300e+00
3.200000e+01 -3.158790e-01 -1.323920e+00
3.200000e+01 -4.530280e-01 -3.269500e-01
3.200000e+01 -2.756430e-01 4.058520e-01
3.200000e+01 2.078600e-01 1.663600e+00
3.200000e+01 2.362360e-01 2.071260e+00
3.200000e+01 2.295810e-01 2.191280e+00
3.075000e+01 2.640660e-01 2.233260e+00
3.075000e+01 2.561310e-01 2.234170e+00
3.075000e+01 2.835660e-01 2.111810e+00
3.075000e+01 3.406790e-01 1.692540e+00
3.075000e+01 4.738950e-01 3.217940e-01
3.075000e+01 4.297370e-01 -4.253890e-01
3.075000e+01 6.173000e-03 -1.390510e+00
3.075000e+01 -1.707540e-01 -1.489440e+00
3.075000e+01 -3.430680e-01 -1.350480e+00
3.075000e+01 -4.980330e-01 -3.190270e-01
3.075000e+01 -3.084560e-01 4.114850e-01
3.075000e+01 2.272210e-01 1.705550e+00
3.075000e+01 2.554900e-01 2.115030e+00
3.075000e+01 2.481960e-01 2.235080e+00
2.665000e+01 3.343320e-01 2.380860e+00
2.665000e+01 3.258720e-01 2.382010e+00
2.665000e+01 3.510460e-01 2.260880e+00
2.665000e+01 3.998290e-01 1.835620e+00
2.665000e+01 5.142290e-01 3.057730e-01
2.665000e+01 4.548770e-01 -4.383520e-01
2.665000e+01 -3.472400e-02 -1.495290e+00
2.665000e+01 -2.172480e-01 -1.588010e+00
2.665000e+01 -3.913170e-01 -1.446510e+00
2.665000e+01 -5.359160e-01 -3.028060e-01
2.665000e+01 -3.307720e-01 4.213730e-01
2.665000e+01 2.895720e-01 1.850700e+00
2.665000e+01 3.221420e-01 2.264830e+00
2.665000e+01 3.174120e-01 2.383170e+00
2.460000e+01 3.714520e-01 2.450930e+00
2.460000e+01 3.621250e-01 2.452310e+00
2.460000e+01 3.865890e-01 2.332590e+00
2.460000e+01 4.309590e-01 1.905910e+00
2.460000e+01 5.362860e-01 2.950050e-01
2.460000e+01 4.799020e-01 -4.450620e-01
2.460000e+01 -4.595800e-02 -1.547630e+00
2.460000e+01 -2.414170e-01 -1.634870e+00
2.460000e+01 -4.256820e-01 -1.491560e+00
2.460000e+01 -6.323950e-01 -2.808130e-01
2.460000e+01 -3.847520e-01 4.310120e-01
2.460000e+01 3.099360e-01 1.923780e+00
2.460000e+01 3.577960e-01 2.336850e+00
2.460000e+01 3.527980e-01 2.453680e+00
2.255000e+01 4.095770e-01 2.516310e+00
2.255000e+01 3.992530e-01 2.517940e+00
2.255000e+01 4.228750e-01 2.400190e+00
2.255000e+01 4.632250e-01 1.973480e+00
2.255000e+01 5.572320e-01 2.824830e-01
2.255000e+01 5.059200e-01 -4.510600e-01
2.255000e+01 -5.443600e-02 -1.598200e+00
2.255000e+01 -2.661690e-01 -1.678630e+00
2.255000e+01 -4.630990e-01 -1.533400e+00
2.255000e+01 -7.485770e-01 -2.521430e-01
2.255000e+01 -4.514780e-01 4.424270e-01
2.255000e+01 3.287340e-01 1.994810e+00
2.255000e+01 3.948690e-01 2.404630e+00
2.255000e+01 3.889300e-01 2.519580e+00
2.050000e+01 4.500820e-01 2.585790e+00
2.050000e+01 4.390630e-01 2.587660e+00
2.050000e+01 4.619770e-01 2.471510e+00
2.050000e+01 4.978660e-01 2.045250e+00
2.050000e+01 5.838270e-01 2.683160e-01
