Version 3.0
Stress Data Type: NODE 
Shell 2
Frame: GLOBAL
Vertices: 25921
8.000001e-01 -1.000000e+00 0.000000e+00
1.950000e+00 3.933013e-01 0.000000e+00
1.200000e+00 1.000000e+00 0.000000e+00
7.000000e-01 -1.000000e+00 0.000000e+00
1.929290e+00 -6.853554e-01 0.000000e+00
2.000000e+00 3.066988e-01 0.000000e+00
1.300000e+00 1.000000e+00 0.000000e+00
2.000000e+00 -6.146448e-01 0.000000e+00
5.000002e-02 5.000001e-01 0.000000e+00
1.545775e+00 2.235529e-01 4.924871e-01
2.892529e-01 -8.043843e-01 1.389132e-01
1.081007e+00 -8.078302e-01 1.955574e-01
1.539296e+00 -6.917645e-01 1.952345e-01
8.330637e-01 6.543028e-01 2.160407e-01
1.418384e+00 7.352221e-01 2.295469e-01
1.701903e+00 5.090364e-01 2.226079e-01
1.912996e+00 4.011194e-02 2.042865e-01
1.891635e+00 -3.258169e-01 1.983314e-01
1.087929e+00 4.419852e-01 5.106846e-01
1.366440e+00 -2.107017e-01 5.279627e-01
3.458465e-01 4.336082e-01 1.774444e-01
4.975001e-01 -1.207112e-01 4.517096e-01
6.394825e-01 -5.048318e-01 3.802231e-01
1.037697e+00 9.143951e-02 6.209088e-01
-3.698347e-01 1.249026e-01 2.384198e-01
-8.000001e-01 -1.000000e+00 0.000000e+00
-1.950000e+00 3.933013e-01 0.000000e+00
-1.200000e+00 1.000000e+00 0.000000e+00
-7.000000e-01 -1.000000e+00 0.000000e+00
-1.929290e+00 -6.853554e-01 0.000000e+00
-2.000000e+00 3.066988e-01 0.000000e+00
-1.300000e+00 1.000000e+00 0.000000e+00
-2.000000e+00 -6.146448e-01 0.000000e+00
-5.000002e-02 5.000001e-01 0.000000e+00
-1.539075e+00 9.773104e-02 2.764968e-01
-2.892789e-01 -8.165049e-01 1.151102e-01
-1.077015e+00 -7.841538e-01 1.112574e-01
-1.538310e+00 -7.010565e-01 1.119334e-01
-8.180540e-01 6.492606e-01 1.234245e-01
-1.395895e+00 6.438085e-01 1.265743e-01
-1.634443e+00 4.430807e-01 1.275783e-01
-1.866026e+00 -9.297114e-03 1.249409e-01
-1.883641e+00 -3.063312e-01 1.217080e-01
-1.035934e+00 2.341885e-01 2.763716e-01
-1.468482e+00 -4.158022e-01 2.727619e-01
-4.656398e-01 -2.541775e-01 2.769745e-01
4.005101e-01 1.936406e-01 3.589369e-01
-6.189674e-01 -6.226878e-01 2.209673e-01
-1.048124e+00 -1.978493e-01 3.218304e-01
-3.420728e-01 4.323477e-01 1.192302e-01
1.374356e+00 -2.522216e-01 5.092863e-01
1.382233e+00 -2.899522e-01 4.906939e-01
1.389598e+00 -3.220207e-01 4.735703e-01
1.397214e+00 -3.521116e-01 4.563677e-01
1.405254e+00 -3.808645e-01 4.388796e-01
1.413837e+00 -4.085851e-01 4.209937e-01
1.423065e+00 -4.354959e-01 4.026212e-01
1.433042e+00 -4.618192e-01 3.836732e-01
1.443846e+00 -4.877789e-01 3.640662e-01
1.455451e+00 -5.136042e-01 3.437391e-01
1.467806e+00 -5.395259e-01 3.226360e-01
1.480860e+00 -5.657749e-01 3.007009e-01
1.494572e+00 -5.926621e-01 2.778252e-01
1.508938e+00 -6.208199e-01 2.536882e-01
1.525828e+00 -6.554530e-01 2.242199e-01
6.778103e-01 -9.850366e-01 1.100446e-02
6.555386e-01 -9.701375e-01 2.195427e-02
6.331031e-01 -9.553673e-01 3.279480e-02
6.104218e-01 -9.407903e-01 4.347139e-02
5.874128e-01 -9.264710e-01 5.392941e-02
5.639941e-01 -9.124736e-01 6.411419e-02
5.400839e-01 -8.988628e-01 7.397113e-02
5.156002e-01 -8.857030e-01 8.344554e-02
4.904610e-01 -8.730582e-01 9.248281e-02
4.645845e-01 -8.609933e-01 1.010283e-01
4.378887e-01 -8.495724e-01 1.090273e-01
4.102917e-01 -8.388601e-01 1.164252e-01
3.817115e-01 -8.289208e-01 1.231674e-01
3.520663e-01 -8.198187e-01 1.291992e-01
3.212740e-01 -8.116183e-01 1.344661e-01
8.143364e-01 -9.871811e-01 1.466530e-02
8.287486e-01 -9.743812e-01 2.927312e-02
8.433127e-01 -9.616193e-01 4.376598e-02
8.581047e-01 -9.489145e-01 5.808639e-02
8.732002e-01 -9.362858e-01 7.217688e-02
8.886753e-01 -9.237521e-01 8.597995e-02
9.046061e-01 -9.113326e-01 9.943816e-02
9.210682e-01 -8.990462e-01 1.124940e-01
9.381375e-01 -8.869119e-01 1.250899e-01
9.558904e-01 -8.749489e-01 1.371686e-01
9.744024e-01 -8.631760e-01 1.486724e-01
9.937494e-01 -8.516123e-01 1.595439e-01
1.014008e+00 -8.402770e-01 1.697257e-01
1.035253e+00 -8.291888e-01 1.791602e-01
1.057560e+00 -8.183668e-01 1.877899e-01
1.690527e+00 4.838833e-01 2.494342e-01
1.676692e+00 4.619883e-01 2.767469e-01
1.664865e+00 4.448183e-01 2.989437e-01
1.653456e+00 4.287441e-01 3.197603e-01
1.642442e+00 4.131992e-01 3.394574e-01
1.631839e+00 3.978882e-01 3.581037e-01
1.621668e+00 3.825832e-01 3.757192e-01
1.611954e+00 3.670567e-01 3.923241e-01
1.602706e+00 3.511120e-01 4.079413e-01
1.593872e+00 3.346780e-01 4.226034e-01
1.585383e+00 3.177144e-01 4.363454e-01
1.577174e+00 3.001814e-01 4.492027e-01
1.569175e+00 2.820388e-01 4.612103e-01
1.561321e+00 2.632465e-01 4.724035e-01
1.553544e+00 2.437645e-01 4.828174e-01
1.906785e+00 -6.842514e-01 1.462501e-02
1.884235e+00 -6.831827e-01 2.919303e-02
1.861598e+00 -6.821849e-01 4.364702e-02
1.838829e+00 -6.812933e-01 5.792999e-02
1.815885e+00 -6.805433e-01 7.198492e-02
1.792720e+00 -6.799703e-01 8.575480e-02
1.769291e+00 -6.796097e-01 9.918265e-02
1.745554e+00 -6.794970e-01 1.122114e-01
1.721465e+00 -6.796675e-01 1.247841e-01
1.696981e+00 -6.801565e-01 1.368438e-01
1.672056e+00 -6.809996e-01 1.483333e-01
1.646648e+00 -6.822322e-01 1.591958e-01
1.620711e+00 -6.838895e-01 1.693742e-01
1.594204e+00 -6.860071e-01 1.788114e-01
1.567079e+00 -6.886203e-01 1.874505e-01
8.522081e-01 6.374080e-01 2.425488e-01
8.676642e-01 6.200513e-01 2.689188e-01
8.799661e-01 6.062400e-01 2.902190e-01
8.918664e-01 5.935003e-01 3.102015e-01
9.038131e-01 5.815173e-01 3.292167e-01
9.160401e-01 5.701146e-01 3.474082e-01
9.287282e-01 5.591509e-01 3.648685e-01
9.420581e-01 5.484844e-01 3.816893e-01
9.561872e-01 5.379580e-01 3.979671e-01
9.711798e-01 5.273520e-01 4.138156e-01
9.870769e-01 5.164311e-01 4.293528e-01
1.003920e+00 5.049604e-01 4.446967e-01
1.021793e+00 4.926509e-01 4.599927e-01
1.040957e+00 4.790010e-01 4.754956e-01
1.063461e+00 4.620172e-01 4.927520e-01
1.179858e+00 9.775102e-01 1.715364e-02
1.159650e+00 9.550413e-01 3.422137e-02
1.139310e+00 9.326138e-01 5.111729e-02
1.118774e+00 9.102488e-01 6.775548e-02
1.097975e+00 8.879670e-01 8.405004e-02
1.076847e+00 8.657891e-01 9.991505e-02
1.055325e+00 8.437360e-01 1.152646e-01
1.033344e+00 8.218284e-01 1.300128e-01
1.010838e+00 8.000871e-01 1.440738e-01
9.877399e-01 7.785330e-01 1.573615e-01
9.639854e-01 7.571868e-01 1.697902e-01
9.395087e-01 7.360695e-01 1.812739e-01
9.142437e-01 7.152016e-01 1.917267e-01
8.881249e-01 6.946039e-01 2.010627e-01
8.610868e-01 6.742974e-01 2.091960e-01
1.405718e+00 7.514384e-01 2.207272e-01
1.394071e+00 7.677189e-01 2.108377e-01
1.383376e+00 7.840596e-01 1.999499e-01
1.373564e+00 8.004559e-01 1.881349e-01
1.364568e+00 8.169036e-01 1.754642e-01
1.356319e+00 8.333988e-01 1.620089e-01
1.348750e+00 8.499365e-01 1.478405e-01
1.341793e+00 8.665131e-01 1.330303e-01
1.335379e+00 8.831239e-01 1.176496e-01
1.329442e+00 8.997648e-01 1.017696e-01
1.323912e+00 9.164314e-01 8.546172e-02
1.318722e+00 9.331194e-01 6.879727e-02
1.313803e+00 9.498245e-01 5.184756e-02
1.309089e+00 9.665426e-01 3.468390e-02
1.304510e+00 9.832691e-01 1.737760e-02
1.935767e+00 3.988613e-01 1.651192e-02
1.921505e+00 4.044606e-01 3.296270e-02
1.907183e+00 4.101387e-01 4.929117e-02
1.892770e+00 4.159349e-01 6.543618e-02
1.878238e+00 4.218886e-01 8.133659e-02
1.863556e+00 4.280392e-01 9.693123e-02
1.848694e+00 4.344261e-01 1.121590e-01
1.833622e+00 4.410887e-01 1.269587e-01
1.818311e+00 4.480661e-01 1.412692e-01
1.802730e+00 4.553980e-01 1.550293e-01
1.786850e+00 4.631236e-01 1.681778e-01
1.770640e+00 4.712824e-01 1.806538e-01
1.754070e+00 4.799137e-01 1.923959e-01
1.737110e+00 4.890569e-01 2.033431e-01
1.719732e+00 4.987513e-01 2.134341e-01
1.917429e+00 6.036457e-02 1.964274e-01
1.922056e+00 7.992218e-02 1.876182e-01
1.926864e+00 9.883109e-02 1.779222e-01
1.931842e+00 1.171377e-01 1.674028e-01
1.936974e+00 1.348882e-01 1.561234e-01
1.942250e+00 1.521291e-01 1.441472e-01
1.947655e+00 1.689066e-01 1.315377e-01
1.953178e+00 1.852671e-01 1.183580e-01
1.958803e+00 2.012569e-01 1.046717e-01
1.964520e+00 2.169224e-01 9.054201e-02
1.970314e+00 2.323099e-01 7.603229e-02
1.976174e+00 2.474657e-01 6.120586e-02
1.982085e+00 2.624361e-01 4.612609e-02
1.988035e+00 2.772675e-01 3.085629e-02
1.994011e+00 2.920063e-01 1.545981e-02
6.036519e-01 -5.342529e-01 3.621744e-01
5.715171e-01 -5.597117e-01 3.458309e-01
5.446328e-01 -5.805532e-01 3.317919e-01
5.199482e-01 -5.995386e-01 3.184197e-01
4.970042e-01 -6.172770e-01 3.053841e-01
4.756167e-01 -6.340972e-01 2.925116e-01
4.556704e-01 -6.502573e-01 2.796676e-01
4.370500e-01 -6.660161e-01 2.667180e-01
4.196063e-01 -6.816117e-01 2.535331e-01
4.030552e-01 -6.972032e-01 2.400039e-01
3.870782e-01 -7.129291e-01 2.260258e-01
3.713571e-01 -7.289283e-01 2.114947e-01
3.554863e-01 -7.453787e-01 1.962619e-01
3.387092e-01 -7.626142e-01 1.800017e-01
3.169933e-01 -7.836426e-01 1.597451e-01
1.991346e+00 -5.982853e-01 1.471687e-02
1.982736e+00 -5.818861e-01 2.937913e-02
1.974215e+00 -5.654072e-01 4.393216e-02
1.965826e+00 -5.488089e-01 5.832133e-02
1.957615e+00 -5.320513e-01 7.249205e-02
1.949625e+00 -5.150945e-01 8.638968e-02
1.941901e+00 -4.978989e-01 9.995964e-02
1.934486e+00 -4.804245e-01 1.131473e-01
1.927425e+00 -4.626316e-01 1.258980e-01
1.920763e+00 -4.444803e-01 1.381571e-01
1.914543e+00 -4.259308e-01 1.498702e-01
1.908811e+00 -4.069433e-01 1.609824e-01
1.903609e+00 -3.874780e-01 1.714393e-01
1.898983e+00 -3.674951e-01 1.811861e-01
1.894977e+00 -3.469546e-01 1.901684e-01
1.118472e+00 4.666815e-01 4.992478e-01
1.145963e+00 4.886719e-01 4.868243e-01
1.168998e+00 5.070360e-01 4.746439e-01
1.190284e+00 5.240933e-01 4.618082e-01
1.210277e+00 5.403277e-01 4.482377e-01
1.229189e+00 5.560038e-01 4.338812e-01
1.247168e+00 5.713314e-01 4.186949e-01
1.264366e+00 5.865206e-01 4.026350e-01
1.280957e+00 6.017793e-01 3.856576e-01
1.297220e+00 6.173086e-01 3.677189e-01
1.313460e+00 6.333071e-01 3.487754e-01
1.329981e+00 6.499742e-01 3.287834e-01
1.347169e+00 6.675654e-01 3.076480e-01
1.365737e+00 6.865638e-01 2.850704e-01
1.389836e+00 7.105465e-01 2.571849e-01
6.481415e-02 4.916033e-01 1.233853e-02
7.971480e-02 4.833064e-01 2.464769e-02
9.478844e-02 4.752095e-01 3.689811e-02
1.101216e-01 4.674123e-01 4.906042e-02
1.258007e-01 4.600150e-01 6.110525e-02
1.419124e-01 4.531173e-01 7.300322e-02
1.585430e-01 4.468192e-01 8.472497e-02
1.757792e-01 4.412206e-01 9.624112e-02
1.937073e-01 4.364215e-01 1.075223e-01
2.124140e-01 4.325219e-01 1.185392e-01
2.319856e-01 4.296216e-01 1.292623e-01
2.525089e-01 4.278206e-01 1.396624e-01
2.740700e-01 4.272188e-01 1.497100e-01
2.967557e-01 4.279162e-01 1.593758e-01
3.206523e-01 4.300127e-01 1.686304e-01
1.050140e+00 -7.810833e-01 2.147843e-01
1.025017e+00 -7.537029e-01 2.348134e-01
1.005564e+00 -7.313005e-01 2.511584e-01
9.872016e-01 -7.101203e-01 2.664821e-01
9.690258e-01 -6.898663e-01 2.809275e-01
9.505000e-01 -6.704339e-01 2.945163e-01
9.311796e-01 -6.517657e-01 3.072396e-01
9.106207e-01 -6.338054e-01 3.190887e-01
8.883962e-01 -6.164943e-01 3.300541e-01
