Version 3.0
Stress Data Type: NODE 
Shell 1
Frame: GLOBAL 
Vertices: 17755
-4.666462e+00 -3.439379e+00 -6.283185e+00
-4.719326e+00 -3.339213e+00 -6.052588e+00
-4.707837e+00 -3.236792e+00 -6.283185e+00
-4.740057e+00 -3.147570e+00 -6.043518e+00
-4.705832e+00 -3.046393e+00 -6.283185e+00
-4.706197e+00 -2.895459e+00 -6.063158e+00
-4.640424e+00 -2.764181e+00 -6.283185e+00
-4.640424e+00 2.764181e+00 -6.283185e+00
-4.684547e+00 2.846771e+00 -6.114931e+00
-4.705832e+00 3.046393e+00 -6.283185e+00
-4.734951e+00 3.109736e+00 -6.076758e+00
-4.697808e+00 3.300259e+00 -6.283185e+00
-4.704668e+00 3.356899e+00 -6.115262e+00
-4.642535e+00 3.514297e+00 -6.283185e+00
-4.624148e+00 3.594201e+00 -6.126184e+00
-4.561615e+00 -3.693083e+00 -6.283185e+00
-4.531327e+00 -3.784826e+00 -6.085934e+00
-4.643727e+00 -3.564423e+00 -6.086299e+00
-4.616561e+00 -2.652752e+00 -6.075758e+00
-4.517341e+00 -2.510906e+00 -6.283185e+00
-4.598378e+00 2.615612e+00 -6.080933e+00
-4.538906e+00 3.736840e+00 -6.283185e+00
-4.506547e+00 3.815991e+00 -6.113745e+00
-4.416738e+00 -3.922237e+00 -6.283185e+00
-4.402624e+00 -3.982818e+00 -6.042532e+00
-4.394007e+00 2.329365e+00 -6.283185e+00
-4.390951e+00 2.312154e+00 -6.145629e+00
-4.517341e+00 2.510906e+00 -6.283185e+00
-4.490549e+00 2.412779e+00 -6.017529e+00
-4.388434e+00 3.960516e+00 -6.283185e+00
-4.375665e+00 4.012398e+00 -6.061524e+00
-4.265835e+00 -4.116723e+00 -6.161862e+00
-4.277966e+00 -4.092993e+00 -6.283185e+00
-4.279204e+00 2.191475e+00 -6.283185e+00
-4.250629e+00 4.132295e+00 -6.178451e+00
-4.251094e+00 4.124058e+00 -6.283185e+00
-4.092993e+00 -4.277966e+00 -6.283185e+00
-4.140310e+00 -4.260141e+00 -6.081144e+00
-4.156475e+00 2.064285e+00 -6.283185e+00
-4.252921e+00 2.129059e+00 -6.052302e+00
-4.124058e+00 4.251094e+00 -6.283185e+00
-4.106435e+00 4.280680e+00 -6.129044e+00
-4.024299e+00 1.945645e+00 -6.283185e+00
-3.918779e+00 1.839530e+00 -6.077487e+00
-4.063943e+00 1.950550e+00 -6.056586e+00
-3.928682e+00 4.411973e+00 -6.283185e+00
-3.922237e+00 -4.416738e+00 -6.283185e+00
-3.990498e+00 -4.388418e+00 -6.085960e+00
-4.043504e+00 -1.961818e+00 -6.283185e+00
-3.940550e+00 -1.855714e+00 -6.076489e+00
-3.812291e+00 -1.791162e+00 -6.283185e+00
-3.693083e+00 -4.561615e+00 -6.283185e+00
-3.803917e+00 -4.521690e+00 -6.073982e+00
-3.713942e+00 -1.703660e+00 -6.049646e+00
-3.812291e+00 1.791162e+00 -6.283185e+00
-3.731851e+00 1.723438e+00 -6.104272e+00
-3.792067e+00 4.530621e+00 -6.065978e+00
-3.693083e+00 4.561615e+00 -6.283185e+00
-3.569890e+00 -1.663141e+00 -6.283185e+00
-3.569890e+00 1.663141e+00 -6.283185e+00
-3.538223e+00 4.658257e+00 -6.065043e+00
-3.493289e+00 -1.606386e+00 -6.062121e+00
-3.543557e+00 1.621172e+00 -6.033512e+00
-3.439379e+00 4.666462e+00 -6.283185e+00
-3.439379e+00 -4.666462e+00 -6.283185e+00
-3.318309e+00 -4.717979e+00 -6.077151e+00
-3.572227e+00 -4.643974e+00 -6.068467e+00
-3.336162e+00 -1.591032e+00 -6.283185e+00
-3.334270e+00 -1.582178e+00 -6.153684e+00
-3.318212e+00 1.588187e+00 -6.283185e+00
-3.390655e+00 1.589207e+00 -6.126079e+00
-3.271410e+00 4.721043e+00 -6.100121e+00
-3.173326e+00 -4.709851e+00 -6.283185e+00
-3.173326e+00 -1.573289e+00 -6.283185e+00
-3.095002e+00 -1.547385e+00 -6.065249e+00
-3.205615e+00 1.553896e+00 -6.091026e+00
-3.173326e+00 4.709851e+00 -6.283185e+00
-3.046393e+00 1.577312e+00 -6.283185e+00
-3.016641e+00 4.723048e+00 -6.092887e+00
-2.919460e+00 -4.685814e+00 -6.283185e+00
-3.072110e+00 -4.736176e+00 -6.051383e+00
-2.947440e+00 -1.591188e+00 -6.283185e+00
-3.001672e+00 1.560384e+00 -6.086982e+00
-2.919460e+00 4.685814e+00 -6.283185e+00
-2.861378e+00 -4.699635e+00 -6.058156e+00
-2.911954e+00 1.599031e+00 -6.283185e+00
-2.788721e+00 1.617280e+00 -6.108195e+00
-2.741647e+00 4.658499e+00 -6.062574e+00
-2.735850e+00 -4.630710e+00 -6.283185e+00
-2.649271e+00 -4.614293e+00 -6.079195e+00
-2.729060e+00 -1.654949e+00 -6.283185e+00
-2.725225e+00 -1.648977e+00 -6.161604e+00
-2.869526e+00 -1.585937e+00 -6.080420e+00
-2.665594e+00 1.684123e+00 -6.283185e+00
-2.668837e+00 4.600483e+00 -6.283185e+00
-2.510906e+00 -4.517341e+00 -6.283185e+00
-2.570261e+00 -1.731752e+00 -6.283185e+00
-2.562699e+00 -1.713420e+00 -6.081300e+00
-2.569819e+00 1.712740e+00 -6.099050e+00
-2.520358e+00 4.540725e+00 -6.104814e+00
-2.477267e+00 -4.525063e+00 -6.057613e+00
-2.465883e+00 1.793172e+00 -6.283185e+00
-2.483259e+00 4.501378e+00 -6.283185e+00
-2.275183e+00 -4.350278e+00 -6.283185e+00
-2.325295e+00 -4.411618e+00 -6.092847e+00
-2.372312e+00 -1.857499e+00 -6.283185e+00
-2.409147e+00 -1.810740e+00 -6.089761e+00
-2.349026e+00 1.845792e+00 -6.058295e+00
-2.255611e+00 1.948564e+00 -6.283185e+00
-2.306753e+00 4.376146e+00 -6.283185e+00
-2.338180e+00 4.414038e+00 -6.131974e+00
-2.137762e+00 -4.252697e+00 -6.091681e+00
-2.226654e+00 -1.971955e+00 -6.283185e+00
-2.249475e+00 -1.930245e+00 -6.082817e+00
-2.142288e+00 2.023547e+00 -6.074059e+00
-2.080477e+00 -4.173227e+00 -6.283185e+00
-2.094395e+00 -2.094395e+00 -6.283185e+00
-2.107243e+00 -2.056271e+00 -6.074816e+00
